Complexity;CO_FirstMin_ac;FC_LocalSimple_mean3_stderr;value__partial_autocorrelation__lag_3;DWT_L2_Std;CO_f1ecac;DWT_L1_Std;value__number_peaks__n_5;value__number_peaks__n_10;PD_PeriodicityWang_th0_01;Mobility;CO_HistogramAMI_even_2_5;SB_MotifThree_quantile_hh;DWT_L1_Energy;value__ratio_value_number_to_time_series_length;value__permutation_entropy__dimension_3__tau_1;value__ar_coefficient__coeff_5__k_10;"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""";DWT_L3_Std;value__lempel_ziv_complexity__bins_5;value__permutation_entropy__dimension_5__tau_1;value__lempel_ziv_complexity__bins_3;value__ar_coefficient__coeff_3__k_10;ZeroCrossings;"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""";Label
4.740926931444769;62;0.3502652446306338;-0.1739904734132614;6.525675112610677;14.290138655355715;18.901215830975985;208.0;129.0;250;0.2176367192325266;0.5866954479299;1.4864800210998848;185142.2006654809;0.0419819380034171;1.561240998880144;0.1933757289918246;0.0113555565579851;2.479045052941024;0.1093483036368074;3.548235414233277;0.0839638760068342;-0.4908106523303999;161;0.1053829431214748;1
3.557419460736964;67;0.2689336964083152;0.7806906975715623;18.696915126703427;25.310068508286538;67.28965055509224;163.0;106.0;314;0.1438010537988669;0.6096795118110593;1.327081094163519;2346341.9774928493;0.1523065657798389;1.3853090228058107;-0.189945944023941;0.0712243425014945;3.0128437913446704;0.0585794483768611;2.894910261180367;0.040273370759092;-0.0114357188314818;72;0.3479129164949224;1
2.9071440369442407;55;0.3858929323530508;0.0648647551223837;15.88211767073316;15.135815088206847;55.38529484452659;185.0;125.0;106;0.2141045076545604;0.5943651233317412;1.4626046869225096;1590234.813877022;0.0903099829143275;1.3106559398355733;0.0880677406013081;0.0279521226114785;4.972672021542048;0.1108127898462289;2.668579506091412;0.0812789846228948;-0.5522976414771797;189;0.2608178860987141;1
4.179839505230816;33;0.3485814130397449;-0.2240621964837072;6.41918227051481;9.238169041802486;22.37731728590289;156.0;103.0;132;0.1990268444694913;0.5675926803217449;1.4905087155599228;259395.0515100743;0.0554063949231144;1.467434499336467;0.2393788814919838;0.0139369876641175;2.3243301621447863;0.1086160605320966;3.114818670102349;0.0761532828899194;-0.5211886740058852;136;0.1469029044901804;1
2.76211785007649;35;0.473916295689019;0.2768435086558839;28.542183652370404;7.763797445802465;75.14514375517031;203.0;130.0;108;0.2711866434911548;0.4020874998376517;1.525661254759799;2929839.3592869025;0.1152062484744935;1.351221476542376;0.3600651628904948;0.034307181740092;6.026236266776432;0.0942152794727849;2.8672405823263056;0.0659018794239687;-0.5957824818982785;236;0.3417417597077858;1
4.050551812274416;18;0.3979352604082838;-0.268760218060677;4.695825190642947;7.511281289323335;14.377843662956977;160.0;119.0;33;0.2383171260870494;0.5013821518879719;1.5334884257940469;107083.2849134758;0.0356358310959238;1.5447056522604108;-0.0213688796785918;0.0083412889939696;2.0657343591837023;0.1098364657066146;3.380920944731251;0.079326336343666;-0.3080605485041774;70;0.0741757904057449;1
3.349473101964082;27;0.4803141740983745;-0.1090688321637995;13.079892701636837;7.531144223940626;34.144637287385954;237.0;127.0;147;0.2945019704939361;0.3412667857539054;1.6139095539591977;605199.6676734352;0.0607761776909934;1.5706751316206002;0.1865154593208341;0.0150574872232282;4.366493146487271;0.116670734683915;3.622874614369184;0.0688308518428118;-0.4486581632344871;258;0.1471516285984953;1
3.355334084731715;64;0.2808490196000852;0.4066761405751097;11.724779298748146;19.4149151113676;49.588945469288326;151.0;99.0;244;0.1492024584915814;0.5828288686447335;1.3809971425062288;1274035.0800309628;0.1254576519404442;1.4152432112888849;0.0839371138948927;0.0528480162137321;2.8026324540230068;0.0539419087136929;2.9660790035280105;0.0358799121308274;-0.3636688549716369;138;0.2829014175195053;1
3.2538860528849027;87;0.2766673416128956;0.6373807430043945;46.70919035535844;15.286166015228744;214.7754682540612;120.0;69.0;213;0.1461227239970827;0.722529494874955;1.272551282647741;23894641.23355012;0.2460336831828166;1.3190802143837153;0.0445232219945008;0.2350079648835482;10.439326374584516;0.0600439345862826;2.63217867927138;0.040273370759092;0.5954380199124258;58;0.6086896839545585;1
3.721087720667714;71;0.2703601944843665;0.5411069705964805;18.648795742074263;21.033948762017285;76.17135402982953;157.0;114.0;244;0.1461457350764357;0.6155129667461648;1.3428929815022226;3007737.2704857416;0.1496216743958994;1.3648170921006126;-0.2679493074164007;0.0707996148061181;4.241236153472022;0.0627288259702221;2.800430957148653;0.0363680742006346;0.0518920566806534;94;0.3638397922478106;1
3.824879044336004;37;0.3160025914680575;-0.189212317798275;8.465747857111545;9.935407596639005;30.191118532901573;130.0;96.0;75;0.1738047531801538;0.587775444506577;1.4431475082234009;473094.637668163;0.0756651208201122;1.371122018345699;0.2767853240283976;0.0184336683468962;2.990234805234753;0.0983646570661459;2.7830228517057454;0.0756651208201122;-0.6844670730280884;144;0.2389418913357484;1
